census_tract,total_pop,white_pop,black_pop,asian_pop,median_income
17031720200,4191,1861,2081,22,95789
17031720300,3786,2391,1154,17,124836
17031720400,1904,1591,172,0,106146
17031720500,1936,1790,23,14,107727
17031720600,1777,1193,537,0,123438
17031720700,2993,726,1780,105,90625
17031730100,2748,72,2576,0,48625
17031730201,5075,194,4808,22,45481
17031730202,3064,36,2988,0,68164
17031730300,1011,0,987,10,41571
17031730400,4283,139,4052,0,82838
17031730500,4297,12,4220,0,58254
17031730600,3905,35,3827,0,58576
17031730700,2293,0,2255,0,52652
17031740100,3115,2811,40,46,95701
17031740200,6607,5717,116,89,109365
17031740300,5017,4546,78,42,125380
17031740400,4738,4169,275,155,97750
17031750100,4061,288,3697,20,50625
17031750200,2856,969,1743,0,71228
17031750300,2604,2387,143,5,100938
17031750400,2907,1905,750,63,103785
17031750500,5278,1343,3620,18,54058
17031750600,3921,73,3569,0,52833
17031760801,4814,2197,241,1829,71215
17031760802,2351,2194,32,19,66193
17031760803,6253,5098,691,211,52110
17031770201,6075,4536,129,1025,80853
17031770202,4435,3776,15,202,77235
17031770300,7034,5709,418,398,83885
17031770400,4673,3491,102,392,88029
17031770500,4331,2436,0,0,49349
17031770601,3635,2809,66,494,96125
17031770602,4899,3645,3,419,78800
17031770700,2227,1772,14,127,60547
17031770800,5583,4466,85,217,67722
17031770901,4847,4000,80,387,94188
17031770902,3588,3161,9,250,78809
17031800100,2315,2145,0,73,238542
17031800200,6509,6159,128,158,208365
17031800300,3230,2890,0,92,224808
17031800400,3782,3430,0,133,250001
17031800500,5616,5244,1,98,250001
17031800600,2264,2003,0,60,250001
17031800700,5085,4432,21,371,230972
17031800800,2509,2310,10,141,105417
17031800900,4344,2879,19,1154,117208
17031801000,5311,4063,0,1063,138897
17031801100,4939,4600,1,225,215694
17031801200,3627,3406,18,98,236250
17031801300,4432,3718,49,460,131848
17031801400,3057,2268,157,492,151661
17031801500,6370,5573,147,482,124488
17031801601,4221,3445,52,628,86250
17031801603,3989,2354,579,633,65417
17031801605,5451,4455,19,828,167045
17031801606,7232,5766,93,980,148133
17031801607,5603,3408,43,1801,129750
17031801608,6971,4579,14,2011,124855
17031801701,3815,3146,0,572,205324
17031801702,5038,4191,23,544,171694
17031801800,6027,5347,136,474,162468
17031801901,4502,3525,15,522,94938
17031801902,3904,3382,0,341,173844
17031802002,5038,4007,82,487,136058
17031802003,2359,1562,129,379,129250
17031802004,6068,3359,106,2392,36639
17031802100,3720,2970,37,335,129423
17031802200,4970,4648,18,183,146818
17031802300,5516,4295,16,906,108246
17031802402,6070,3542,258,950,72353
17031802403,1422,1259,0,123,69737
17031802404,7382,4104,208,853,59919
17031802503,7255,4864,63,1563,97050
17031802504,6724,3700,66,689,82800
17031802505,6398,2766,213,1132,65570
17031802506,2552,1300,31,247,85905
17031802605,7003,5376,32,1523,104762
17031802607,1255,1158,0,34,122500
17031802608,6163,5190,308,443,79820
17031802609,6542,3069,22,1060,56045
17031802610,2026,1446,30,484,116148
17031802701,6601,4153,186,1236,109151
17031802702,4928,3204,84,1408,105966
17031802801,4665,3689,31,428,120721
17031802802,6798,5371,46,840,122095
17031802900,6150,5678,0,202,146630
17031803005,2716,2143,31,110,92202
17031803007,5309,4202,104,568,93659
17031803008,4850,3550,132,869,137961
17031803010,4902,3932,58,611,119712
17031803012,2113,1619,43,165,76089
17031803013,5676,4823,22,234,93938
17031803014,3337,2530,25,254,71106
17031803015,4528,3632,190,353,98793
17031803016,2622,1174,122,1244,113819
17031803017,5948,4262,50,572,93693
17031803100,3433,2909,23,127,132539
17031803200,5154,4540,5,248,96330
17031803300,5905,4918,126,492,113558
17031803400,6783,5564,469,304,128063
